Page,DESCRIPTION,REPL. COST,,,MAX ADDL.
15,CLH CLOTHING & ACCESSORIES,,,,
15,Pants - Men's - Dress,,,6.00 EA,$0.00
15,Pants - Men's - Dress,,,4.00 EA,$234.55
15,Pants - Men's - Dress,,,1.00 EA,$58.64
15,Pants - Men's - Dress,,,1.00 EA,$0.00
15,Menswear - Men's cargo pants,,,"5,00 EA",$261.78
15,Menswear - Men's cargo pants,,,1.00 EA,$52.36
15,Menswear - Men's cargo pants,,,"1,00 EA",$0.00
15,Menswear - Men's jeans,,,"3,00 BA",$442.93
15,Menswear - Men's jeans,,,3.0) EA,$314.14
15,Menswear - Men's jeans,,,‘1.00 EA,$62.83
15,Menswear - Men's jeans,,,1.00 EA,$0.00
15,Menswear - Men's khaki / Chinos,,,2.00 EA,$104.71
15,Menswear - Men's khaki / Chinos,,,1.00 EA,$52.36
15,Menswear - Men's khaki / Chinos,,,1.00 EA,$0.00
15,Sweatpants - Men's,,,5.00 EA,$523.56
15,Sweatpants - Men's,,,"3,00 EA",$103.66
15,Sweatpants - Men's,,,1.00 EA,$34.55
15,Sweatpants - Men's,,,1.00 EA,$0.00
15,Robe - Ladies’,,,1.00 EA,$102.09
15,Robe - Ladies’,,,1.00 EA,$104.71
15,Note: Slight variances may be found within,report sections,due to rounding,,
16,,,Trade Summary,,
16,,Includes all applicable,"Tax, General Contractor O&P,",and Labor Minimums,
16,DESCRIPTION,,,"REPL, COST",ACV
16,,,QTY,TOTAL,
16,CLH CLOTHING & ACCESSORIES,,,,
16,Robe - Men's,,1.00 EA,$51.31,$10.26
16,Robe - Men's,,1.00 EA,$55.50,$11.10
16,Robe - Men's,,00,,$0.00
16,Robe - Men's,,1.00 EA,$55.50,$33.30
16,robe mens,,1.00 EA,$51.31,$10.26
16,Shoes - Ladies - Boot,,,,
16,Shoes - Ladies’ - Shoes,,25.00 EA,"$2,879.58","$1,727.75"
16,Shoes - Ladies’ - Casual,,15.00 EA,$890.10,$178.02
